"Country_ID","Sector_ID","verified","allocatedFree","free_alloc_share"
"AT","C10-C12",253860,163010,0.642125581028914
"AT","C16-C18",1074229,1852254,1
"AT","C19-C20",3831189,3103017,0.809935766677133
"AT","C21-C22",42347,31166,0.735967128722224
"AT","C23",3874020,3881087,1
"AT","C24",11874256,9305975,0.783710154135131
"AT","C25+C28",28829,7921,0.274758056124042
"AT","C29-C30",16316,7556,0.463103701887718
"BE","C10-C12",1531777,778945,0.508523760312369
"BE","C13-C15",43601,35365,0.81110524987959
"BE","C16-C18",611823,658797,1
"BE","C19-C20",13835008,13278068,0.959744150491275
"BE","C21-C22",96128,33161,0.344967127163782
"BE","C23",5784337,5492482,0.94954391488601
"BE","C24",4749875,8351384,1
"BE","C25+C28",0,0,NA
"BE","C26-C27",0,0,NA
"BE","C29-C30",34631,11400,0.329184834396928
"BG","C10-C12",166220,94163,0.566496209842378
"BG","C13-C15",12945,17794,1
"BG","C16-C18",67730,157344,1
"BG","C19-C20",3603534,2877552,0.798536103724843
"BG","C21-C22",19187,20353,1
"BG","C23",2451990,2332211,0.951150290172472
"BG","C24",403774,595376,1
"BG","C25+C28",0,0,NA
"CY","C23",10039,6920,0.68931168443072
"CZ","C10-C12",81737,59021,0.72208424581279
"CZ","C13-C15",0,0,NA
"CZ","C16-C18",363237,325523,0.896172471416733
"CZ","C19-C20",4916686,2681337,0.545354533521156
"CZ","C21-C22",19223,4913,0.255579254018624
"CZ","C23",3518653,3941285,1
"CZ","C24",4123749,6863726,1
"CZ","C25+C28",8839,8806,0.996266545989365
"CZ","C29-C30",47765,13123,0.274740919083011
"DE","C10-C12",1278712,598643,0.468160930686503
"DE","C13-C15",0,0,NA
"DE","C16-C18",4322177,5914684,1
"DE","C19-C20",37946408,33381311,0.879696202075306
"DE","C21-C22",260189,74108,0.284823724292726
"DE","C23",28624721,27678031,0.966927537913819
"DE","C24",31240108,47147417,1
"DE","C25+C28",53299,7777,0.14591268128858
"DE","C26-C27",1856,516,0.27801724137931
"DE","C29-C30",448064,79961,0.178458880874161
"DE","C31-C33",115027,15424,0.134090257070079
"DK","C10-C12",458665,319132,0.695784505030905
"DK","C16-C18",39539,47611,1
"DK","C19-C20",1066704,779529,0.730782860099896
"DK","C21-C22",5785,2149,0.371477960242005
"DK","C23",1986169,1992244,1
"DK","C24",107812,77965,0.723156976959893
"DK","C25+C28",97,826,1
"EE","C10-C12",0,0,NA
"EE","C16-C18",26021,87416,1
"EE","C19-C20",1960729,1727428,0.881013133380493
"EE","C23",63948,57474,0.898761493713642
"EL","C10-C12",39254,13861,0.353110511030723
"EL","C13-C15",7470,4996,0.668808567603748
"EL","C16-C18",97904,73765,0.753442147409707
"EL","C19-C20",6045129,4130839,0.683333473942409
"EL","C23",5313216,5339681,1
"EL","C24",1422898,1095562,0.769951184132665
"ES","C10-C12",1679276,698171,0.415757147723185
"ES","C13-C15",22576,12106,0.536233167965982
"ES","C16-C18",2411626,2125024,0.881158189536852
"ES","C19-C20",19373246,15818507,0.816512989098471
"ES","C21-C22",88684,48689,0.549016733570881
"ES","C23",17724644,17808432,1
"ES","C24",6572842,9727596,1
"ES","C26-C27",67590,94778,1
"ES","C29-C30",174434,32305,0.185198986436131
"FI","C10-C12",53239,34271,0.643719829448337
"FI","C16-C18",350997,784575,1
"FI","C19-C20",292645,363440,1
"FI","C23",415178,383432,0.923536410888824
"FI","C24",114775,160703,1
"FR","C10-C12",3447621,2738882,0.794426649565019
"FR","C13-C15",6847,5189,0.757850153351833
"FR","C16-C18",1476718,2677764,1
"FR","C19-C20",18460013,14448469,0.782690077195504
