"id","Country_ID","activity_id","Sector_ID","nace_id","lat","lon","NUTS3_ID","NUTS_ID","verified","allocatedFree"
"AT_118","AT",42,"C19-C20",20.16,48.1406756,16.5092545,"AT127","AT12",8700,41796
"AT_2","AT",24,"C24",24.1,47.5344342,15.502899,"AT223","AT22",23075,15148
"AT_1","AT",30,"C23",23.52,47.7143986,13.6372787,"AT315","AT31",33490,33216
"AT_65","AT",32,"C23",23.32,46.7505312,15.3507306,"AT225","AT22",11844,17309
"AT_11","AT",31,"C23",23.13,48.0562713,14.1409959,"AT314","AT31",72140,51602
"AT_110","AT",36,"C16-C18",17.12,47.1358109,15.3343377,"AT221","AT22",202975,276141
"AT_10","AT",31,"C23",23.13,48.2068461,15.2187024,"AT121","AT12",57344,40749
"AT_88","AT",32,"C23",23.32,48.2707034,13.4192527,"AT311","AT31",14362,12599
"AT_16","AT",24,"C24",24.1,48.2786073,14.3197919,"AT312","AT31",8668217,6864172
"AT_30","AT",32,"C23",23.32,47.7199138,16.2227947,"AT122","AT12",1649,2918
"AT_54","AT",32,"C23",23.32,48.1737089,13.692228,"AT311","AT31",2624,13333
"AT_22","AT",32,"C23",23.32,48.1938221,14.0299749,"AT312","AT31",10447,15703
"AT_52","AT",32,"C23",23.32,48.3247988,13.7729222,"AT311","AT31",3334,16668
"AT_159","AT",36,"C16-C18",17.12,48.2181257,14.2431622,"AT312","AT31",29127,26964
"AT_168","AT",36,"C16-C18",17.12,47.9794159,13.8164638,"AT315","AT31",1363,160033
"AT_157","AT",29,"C23",23.51,47.7271636,13.0418909,"AT323","AT32",297368,299806
"AT_163","AT",36,"C16-C18",17.12,48.0248513,14.7629704,"AT121","AT12",24192,20915
"AT_203","AT",30,"C23",23.52,47.5974332,13.1676579,"AT323","AT32",73161,95420
"AT_162","AT",36,"C16-C18",17.12,48.0732305,14.8091594,"AT121","AT12",34864,47930
"AT_164","AT",35,"C16-C18",17.11,48.0248513,14.7629704,"AT121","AT12",6797,3202
"AT_161","AT",35,"C16-C18",17.12,48.2988974,14.578785,"AT313","AT31",3368,3745
"AT_183","AT",31,"C23",23.19,47.0418609,15.1519998,"AT225","AT22",6854,5540
"AT_64","AT",31,"C23",23.19,47.2958386,11.5938274,"AT332","AT33",7933,5017
"AT_155","AT",24,"C24",24.1,47.0655462,15.4187129,"AT221","AT22",36747,33192
"AT_171","AT",36,"C16-C18",17.12,47.9915494,13.8000831,"AT315","AT31",15134,41430
"AT_209","AT",24,"C24",24.1,47.3797905,15.0597356,"AT223","AT22",0,0
"AT_201999","AT",34,"C23",23.62,47.5969576,13.7854285,"AT222","AT22",19933,6426
"AT_201868","AT",28,"C24",24.42,48.226968,13.0323229,"AT311","AT31",21221,17643
"AT_205426","AT",42,"C19-C20",20.14,48.1398596,16.4893959,"AT127","AT12",21704,19206
"BE_278","BE",32,"C23",23.32,50.7608206,3.2317138,"BE328","BE32",10005,6016
"BE_277","BE",36,"C16-C18",17.12,51.0140552,4.0685999,"BE232","BE23",175893,114899
"BE_281","BE",42,"C19-C20",20.16,51.0626789,5.1796353,"BE224","BE22",32713,33253
"BE_38","BE",31,"C23",23.19,51.0720558,5.1617764,"BE224","BE22",17863,17077
"BE_58","BE",38,"C19-C20",20.15,50.4797445,3.7971724,"BE323","BE32",400084,621641
"BE_118","BE",24,"C24",24.1,50.6742315,5.6432623,"BE332","BE33",0,0
"BE_117","BE",24,"C24",24.1,50.6039503,5.5422622,"BE332","BE33",0,0
"BE_115","BE",25,"C24",24.1,50.5937587,5.4636101,"BE332","BE33",188,6288
"BE_114","BE",24,"C24",19.1,50.6039503,5.5422622,"BE332","BE33",0,0
"BE_111","BE",24,"C24",7.1,50.6039503,5.5422622,"BE332","BE33",0,0
"BE_109","BE",25,"C24",24.1,50.5860208,5.4470021,"BE332","BE33",28184,16228
"BE_108","BE",25,"C24",24.1,50.6062922,5.537519,"BE332","BE33",26099,19698
"BE_110","BE",24,"C24",24.1,50.6742315,5.6432623,"BE332","BE33",0,0
"BE_177","BE",42,"C19-C20",20.16,51.1028323,5.060621,"BE213","BE21",26758,25875
"BE_175","BE",42,"C19-C20",20.16,51.2407449,4.3368138,"BE211","BE21",28185,17814
"BE_176","BE",21,"C19-C20",19.2,51.2569663,4.3448672,"BE211","BE21",2182916,1452174
"BE_173","BE",42,"C19-C20",20.14,51.0601159,5.0929428,"BE224","BE22",115471,77394
"BE_166","BE",31,"C23",23.11,50.4480631,4.6882422,"BE352","BE35",387286,308673
"BE_197","BE",25,"C24",24.1,50.5849529,5.4374918,"BE332","BE33",22421,17352
"BE_196","BE",32,"C23",23.2,50.4532298,3.815011,"BE323","BE32",0,0
"BE_218","BE",30,"C23",23.52,50.4972674,5.0769286,"BE352","BE35",13896,41733
"BE_216","BE",30,"C23",23.52,50.40339,4.63369,"BE352","BE35",379930,320134
"BE_217","BE",30,"C23",23.52,50.5573959,5.1771448,"BE331","BE33",208560,173452
"BE_211","BE",21,"C19-C20",19.2,51.2496837,4.367376,"BE211","BE21",0,0
"BE_213","BE",32,"C23",23.32,51.0174946,5.7124145,"BE225","BE22",23237,17610
"BE_214","BE",32,"C23",23.32,51.3253298,4.8134291,"BE213","BE21",39397,37145
"BE_209","BE",21,"C19-C20",19.2,51.2498291,4.368393,"BE211","BE21",10349,27613
"BE_207","BE",31,"C23",23.13,50.0273186,4.1521009,"BE32D","BE32",20783,17083
"BE_238","BE",24,"C24",24.1,50.4095263,4.4342085,"BE32B","BE32",35074,58852
"BE_253","BE",32,"C23",23.32,50.8407999,5.5518357,"BE223","BE22",34011,25739
"BE_275","BE",32,"C23",23.32,50.5091571,3.6170044,"BE328","BE32",16195,11403
