"Country_ID","NUTS_ID","Sector_ID","ets_emis_t","alloc_free_t"
"AT","AT11","C23",7282,7499
"AT","AT12","C16-C18",263821,212030
"AT","AT12","C19-C20",2626187,1760631
"AT","AT12","C23",1033123,1021249
"AT","AT21","C16-C18",59624,101801
"AT","AT21","C23",377774,431997
"AT","AT22","C16-C18",405138,504913
"AT","AT22","C23",672294,685328
"AT","AT22","C24",3090403,2348047
"AT","AT31","C16-C18",193692,658173
"AT","AT31","C19-C20",896102,930989
"AT","AT31","C23",937935,959983
"AT","AT31","C24",8752298,6931621
"AT","AT32","C16-C18",3078,64513
"AT","AT32","C23",370529,395226
"AT","AT33","C16-C18",20207,18111
"AT","AT33","C23",470976,375517
"AT","AT33","C24",31555,26307
"AT","AT34","C16-C18",23442,27456
"AT","AT34","C23",4107,4288
"BE","BE21","C16-C18",24444,23149
"BE","BE21","C19-C20",11506747,10672463
"BE","BE21","C23",223394,185689
"BE","BE21","C24",383155,344677
"BE","BE22","C16-C18",86570,97706
"BE","BE22","C19-C20",160614,175200
"BE","BE22","C23",122166,95519
"BE","BE22","C24",111933,134447
"BE","BE23","C16-C18",336180,249975
"BE","BE23","C19-C20",345864,425042
"BE","BE23","C23",59353,27342
"BE","BE23","C24",3690181,7345389
"BE","BE25","C19-C20",35815,55218
"BE","BE25","C23",107743,105730
"BE","BE25","C24",16947,18727
"BE","BE31","C16-C18",0,0
"BE","BE31","C24",47627,44267
"BE","BE32","C19-C20",503838,713157
"BE","BE32","C23",2479040,2436652
"BE","BE32","C24",393441,369024
"BE","BE33","C16-C18",30927,22417
"BE","BE33","C19-C20",63210,110204
"BE","BE33","C23",1576826,1616818
"BE","BE33","C24",106591,94853
"BE","BE34","C16-C18",105159,122192
"BE","BE34","C23",368036,289504
"BE","BE35","C19-C20",351463,191018
"BE","BE35","C23",781112,670540
"BG","BG31","C16-C18",9186,20881
"BG","BG31","C19-C20",3271,6663
"BG","BG31","C23",858645,836913
"BG","BG32","C16-C18",15849,19721
"BG","BG32","C19-C20",0,0
"BG","BG32","C23",78759,81949
"BG","BG33","C19-C20",1446948,1276969
"BG","BG33","C23",1075181,1099639
"BG","BG33","C24",23339,22710
"BG","BG34","C16-C18",929,2006
"BG","BG34","C19-C20",1630381,1089947
"BG","BG34","C23",37157,18456
"BG","BG34","C24",39736,28049
"BG","BG41","C16-C18",0,0
"BG","BG41","C23",177617,140573
"BG","BG41","C24",159469,379825
"BG","BG42","C16-C18",41364,43275
"BG","BG42","C19-C20",522934,503973
"BG","BG42","C23",224631,154681
"BG","BG42","C24",181230,164792
"CY","CY00","C23",10039,6920
"CZ","CZ01","C23",390322,384067
"CZ","CZ02","C19-C20",596701,436615
"CZ","CZ02","C23",253709,269407
"CZ","CZ02","C24",0,0
"CZ","CZ03","C23",67662,86573
"CZ","CZ03","C24",2681,2310
"CZ","CZ04","C16-C18",5371,4179
"CZ","CZ04","C19-C20",404764,383695
"CZ","CZ04","C23",844647,856717
"CZ","CZ04","C24",20233,18301
"CZ","CZ05","C16-C18",10153,8248
"CZ","CZ05","C19-C20",24200,15951
"CZ","CZ05","C23",502828,564040
"CZ","CZ06","C16-C18",12206,2838
"CZ","CZ06","C23",600283,821597
"CZ","CZ07","C16-C18",33851,40895
"CZ","CZ07","C19-C20",88966,112534
"CZ","CZ07","C23",696533,818841
"CZ","CZ08","C16-C18",8539,3929
"CZ","CZ08","C19-C20",122613,138919
"CZ","CZ08","C23",151339,115109
"CZ","CZ08","C24",2674601,3429200
"DE","DE11","C16-C18",64748,117865
"DE","DE11","C23",449225,513796
"DE","DE11","C24",15369,12694
"DE","DE12","C16-C18",471622,494197
"DE","DE12","C19-C20",2569583,1800550
"DE","DE12","C23",454253,745005
"DE","DE12","C24",21411,14853
"DE","DE13","C16-C18",76041,168848
"DE","DE13","C19-C20",16745,14362
"DE","DE13","C23",136104,150837
"DE","DE13","C24",242843,258427
"DE","DE14","C16-C18",81910,101407
"DE","DE14","C23",1894756,2139921
"DE","DE21","C16-C18",81037,259092
"DE","DE21","C19-C20",2552942,2105112
"DE","DE21","C23",826658,906284
"DE","DE21","C24",25406,25112
"DE","DE22","C16-C18",48104,132789
"DE","DE22","C19-C20",813834,690202
"DE","DE22","C23",496543,474640
"DE","DE22","C24",26084,116915
"DE","DE23","C23",1162579,1325261
"DE","DE23","C24",3854,7578
"DE","DE24","C16-C18",50963,34704
"DE","DE24","C23",304490,243379
"DE","DE25","C23",281209,296729
"DE","DE26","C16-C18",204591,301812
"DE","DE26","C23",1414806,1301802
"DE","DE26","C24",43721,32164
"DE","DE27","C16-C18",134846,212796
"DE","DE27","C23",948645,843654
"DE","DE27","C24",107880,106929
"DE","DE30","C16-C18",0,0
"DE","DE40","C16-C18",39131,242155
"DE","DE40","C19-C20",3123277,1735280
"DE","DE40","C23",1401264,1633396
"DE","DE40","C24",1858801,3003020
"DE","DE50","C23",12875,23911
"DE","DE50","C24",2800457,4589220
"DE","DE60","C19-C20",700545,728536
"DE","DE60","C24",410912,768762
"DE","DE71","C16-C18",64181,49317
"DE","DE71","C19-C20",48496,84014
"DE","DE71","C23",169103,167174
"DE","DE72","C23",287566,190237
"DE","DE72","C24",334808,295389
"DE","DE73","C16-C18",213285,180753
"DE","DE73","C23",257136,212577
"DE","DE80","C16-C18",3453,3566
"DE","DE80","C19-C20",90355,239470
"DE","DE80","C23",103853,66304
"DE","DE91","C16-C18",78184,60406
"DE","DE91","C19-C20",585,0
"DE","DE91","C23",513910,363264
"DE","DE91","C24",3896726,6548277
"DE","DE92","C16-C18",119720,196536
"DE","DE92","C19-C20",24631,96331
"DE","DE92","C23",1412394,1335904
"DE","DE93","C16-C18",2708,46794
"DE","DE93","C19-C20",17883,119257
"DE","DE93","C23",168356,77966
"DE","DE93","C24",192069,142859
"DE","DE94","C16-C18",495206,600308
"DE","DE94","C19-C20",1171299,836719
"DE","DE94","C23",128246,109778
"DE","DE94","C24",300986,257564
"DE","DEA1","C16-C18",131650,133633
"DE","DEA1","C19-C20",2295584,1522253
"DE","DEA1","C23",2148699,1617175
"DE","DEA1","C24",13582159,22702260
"DE","DEA2","C16-C18",478553,433261
"DE","DEA2","C19-C20",6622166,6380273
"DE","DEA2","C23",396729,444773
"DE","DEA2","C24",210490,128291
"DE","DEA3","C16-C18",34217,68507
"DE","DEA3","C19-C20",4448735,3944270
"DE","DEA3","C23",2442756,2485422
"DE","DEA3","C24",28841,24583
"DE","DEA4","C16-C18",8574,37463
"DE","DEA4","C23",161649,301709
"DE","DEA4","C24",45116,38468
"DE","DEA5","C16-C18",246458,205111
"DE","DEA5","C19-C20",370492,290452
"DE","DEA5","C23",3095564,2770896
"DE","DEA5","C24",877751,704371
"DE","DEB1","C16-C18",190491,163036
"DE","DEB1","C23",385101,358746
"DE","DEB1","C24",100618,102460
"DE","DEB2","C23",193528,164793
"DE","DEB2","C24",9730,13054
"DE","DEB3","C16-C18",116992,214462
"DE","DEB3","C19-C20",2128707,3658667
"DE","DEB3","C23",965386,837346
"DE","DEB3","C24",37878,30255
"DE","DEC0","C19-C20",677886,249819
"DE","DEC0","C23",0,0
"DE","DEC0","C24",5150010,6633986
"DE","DED2","C16-C18",29382,20239
"DE","DED2","C23",71709,77942
"DE","DED2","C24",187796,164418
"DE","DED4","C16-C18",60792,78041
"DE","DED4","C23",95402,105212
"DE","DED4","C24",102387,84733
"DE","DED5","C16-C18",85527,82437
"DE","DED5","C19-C20",985740,759448
"DE","DED5","C23",205893,184640
"DE","DED5","C24",19926,14091
"DE","DEE0","C16-C18",306624,276995
"DE","DEE0","C19-C20",4575870,5112666
"DE","DEE0","C23",3170680,2911830
"DE","DEE0","C24",204886,166572
"DE","DEF0","C16-C18",62777,76305
"DE","DEF0","C19-C20",2493733,1589617
"DE","DEF0","C23",1019934,929310
"DE","DEG0","C16-C18",66116,123339
"DE","DEG0","C19-C20",1733,1560
"DE","DEG0","C23",1357894,1280143
"DE","DEG0","C24",104195,89010
"DK","DK01","C23",0,0
"DK","DK01","C24",0,0
"DK","DK02","C19-C20",532667,407990
"DK","DK02","C23",48047,42954
"DK","DK03","C16-C18",0,0
"DK","DK03","C19-C20",395532,314068
"DK","DK03","C23",57253,53012
"DK","DK04","C16-C18",2524,15836
"DK","DK04","C23",80280,83560
"DK","DK05","C23",1729263,1706413
"EE","EE00","C16-C18",26021,87416
"EE","EE00","C19-C20",1960729,1727428
"EE","EE00","C23",63948,57474
"EL","EL30","C16-C18",0,0
"EL","EL30","C19-C20",3514705,2177599
"EL","EL30","C23",278360,263692
"EL","EL30","C24",123750,89938
"EL","EL43","C23",2117,10562
"EL","EL51","C16-C18",871,4062
"EL","EL51","C19-C20",154158,248411
"EL","EL51","C23",0,0
"EL","EL52","C16-C18",47826,48476
"EL","EL52","C23",987680,942092
"EL","EL52","C24",45576,54115
"EL","EL53","C23",12399,29260
"EL","EL54","C23",3352,1365
"EL","EL61","C16-C18",0,0
"EL","EL61","C19-C20",310474,231001
"EL","EL61","C23",1159207,1185436
"EL","EL61","C24",89627,78281
"EL","EL63","C16-C18",2483,965
"EL","EL63","C23",745326,624397
"EL","EL64","C16-C18",46724,20262
"EL","EL64","C23",2111231,2268425
"EL","EL64","C24",3,271175
"EL","EL65","C16-C18",0,0
"EL","EL65","C19-C20",2047197,1456543
"EL","EL65","C23",13544,14452
"ES","ES11","C16-C18",77663,30511
"ES","ES11","C19-C20",1177846,769096
"ES","ES11","C23",128590,193636
"ES","ES11","C24",565563,967765
"ES","ES12","C16-C18",66588,52527
"ES","ES12","C19-C20",56794,89766
"ES","ES12","C23",1150637,1141785
"ES","ES12","C24",4131636,7117533
"ES","ES13","C16-C18",0,0
"ES","ES13","C19-C20",973587,823216
"ES","ES13","C23",493297,562376
"ES","ES13","C24",207892,248928
"ES","ES21","C16-C18",322070,259350
"ES","ES21","C19-C20",2147154,1521840
"ES","ES21","C23",1305808,1225846
"ES","ES21","C24",557939,498969
"ES","ES22","C16-C18",126329,146951
"ES","ES22","C23",849787,804424
"ES","ES22","C24",46975,41554
"ES","ES23","C23",0,0
"ES","ES24","C16-C18",875662,516518
"ES","ES24","C23",539939,547493
"ES","ES24","C24",73161,93723
"ES","ES30","C16-C18",124035,86275
"ES","ES30","C23",1028605,920946
"ES","ES41","C16-C18",187333,78474
"ES","ES41","C19-C20",30483,32017
"ES","ES41","C23",1616382,1515500
"ES","ES41","C24",13812,18776
"ES","ES42","C19-C20",2175697,1502653
"ES","ES42","C23",743056,713305
"ES","ES42","C24",0,0
"ES","ES43","C23",534759,522888
"ES","ES43","C24",132895,78739
"ES","ES51","C16-C18",289045,277806
"ES","ES51","C19-C20",4514108,3662596
"ES","ES51","C23",2824820,3129406
"ES","ES51","C24",199419,169084
"ES","ES52","C16-C18",37338,40011
"ES","ES52","C19-C20",1187671,1031284
"ES","ES52","C23",3690134,3711782
"ES","ES52","C24",120252,101049
"ES","ES53","C23",0,200
"ES","ES61","C16-C18",130424,107072
"ES","ES61","C19-C20",3538132,3662307
"ES","ES61","C23",2722191,2772080
"ES","ES61","C24",523298,391476
"ES","ES62","C16-C18",2820,1758
"ES","ES62","C19-C20",2476458,2121742
"ES","ES62","C23",32241,23155
"ES","ES70","C19-C20",24540,4263
"ES","ES70","C23",0,0
"FI","FI19","C16-C18",61155,316163
"FI","FI19","C19-C20",0,0
"FI","FI19","C23",0,0
"FI","FI19","C24",71614,66846
"FI","FI1B","C16-C18",0,0
"FI","FI1B","C19-C20",239472,113787
"FI","FI1B","C23",92243,53269
"FI","FI1B","C24",0,0
"FI","FI1C","C16-C18",176822,203165
"FI","FI1C","C19-C20",28535,120731
"FI","FI1C","C23",49969,67127
"FI","FI1C","C24",35192,39254
"FI","FI1D","C16-C18",110720,234693
"FI","FI1D","C19-C20",24638,128922
"FI","FI1D","C23",272966,263036
"FI","FI1D","C24",7969,54603
"FR","FR10","C16-C18",0,0
"FR","FR10","C19-C20",39621,322591
"FR","FR10","C23",173709,235628
"FR","FR10","C24",125836,142647
"FR","FRB0","C16-C18",82615,133457
"FR","FRB0","C23",588332,529046
"FR","FRC1","C23",168076,119279
"FR","FRC1","C24",81000,64211
"FR","FRC2","C16-C18",15371,13459
"FR","FRC2","C19-C20",63587,222040
"FR","FRC2","C23",273502,246942
"FR","FRD1","C16-C18",19371,17791
"FR","FRD1","C23",274595,236631
"FR","FRD2","C16-C18",48308,150734
"FR","FRD2","C19-C20",4414799,2350153
"FR","FRD2","C23",151000,116095
"FR","FRD2","C24",0,0
"FR","FRE1","C16-C18",137026,155269
"FR","FRE1","C19-C20",426206,422740
"FR","FRE1","C23",1353856,1381215
"FR","FRE1","C24",6203572,10394499
"FR","FRE2","C16-C18",71928,85221
"FR","FRE2","C23",285670,234361
"FR","FRE2","C24",30316,26524
"FR","FRF1","C16-C18",128220,165208
"FR","FRF1","C19-C20",283476,496317
"FR","FRF1","C23",337825,338863
"FR","FRF1","C24",150062,123589
"FR","FRF2","C16-C18",79156,78785
"FR","FRF2","C23",744485,682378
"FR","FRF2","C24",14495,13596
"FR","FRF3","C16-C18",207813,292271
"FR","FRF3","C19-C20",642118,625401
"FR","FRF3","C23",1542110,1325751
"FR","FRF3","C24",735081,800858
"FR","FRG0","C16-C18",19703,35536
"FR","FRG0","C19-C20",836249,277504
"FR","FRG0","C23",1041172,1024488
"FR","FRH0","C16-C18",27109,45058
"FR","FRI1","C16-C18",178017,409184
"FR","FRI1","C19-C20",22944,91065
"FR","FRI1","C23",204257,203114
"FR","FRI2","C16-C18",51358,62712
"FR","FRI2","C19-C20",113218,22338
"FR","FRI3","C16-C18",62635,87177
"FR","FRI3","C23",719241,806344
"FR","FRJ1","C16-C18",1561,0
"FR","FRJ1","C23",977006,956616
"FR","FRJ1","C24",153157,198740
"FR","FRJ2","C16-C18",38466,232822
"FR","FRJ2","C19-C20",22041,32156
"FR","FRJ2","C23",584393,463334
"FR","FRK1","C16-C18",3828,3436
"FR","FRK1","C23",380802,361090
"FR","FRK1","C24",116721,97771
"FR","FRK2","C16-C18",142749,197396
"FR","FRK2","C19-C20",1225337,948281
"FR","FRK2","C23",2359342,2275991
"FR","FRK2","C24",626037,681937
"FR","FRL0","C16-C18",66441,183073
"FR","FRL0","C19-C20",2609722,2040120
"FR","FRL0","C23",1222925,1177020
"FR","FRL0","C24",5400182,5440613
"FR","FRY2","C23",0,0
"HR","HR03","C19-C20",678325,389777
"HR","HR03","C23",1277898,1258201
"HR","HR03","C24",15151,11507
"HR","HR04","C16-C18",13400,3091
"HR","HR04","C19-C20",344902,363348
"HR","HR04","C23",886180,771108
"HR","HR04","C24",33099,14168
"HU","HU11","C23",16437,29500
"HU","HU12","C16-C18",22212,8787
"HU","HU12","C19-C20",879810,822594
"HU","HU12","C23",346068,383429
"HU","HU21","C16-C18",295376,219987
"HU","HU21","C19-C20",795568,811198
"HU","HU21","C23",142085,130203
"HU","HU21","C24",351013,958232
"HU","HU22","C23",28732,38839
"HU","HU23","C23",477053,923096
"HU","HU31","C19-C20",497451,606096
"HU","HU31","C23",53380,41244
"HU","HU31","C24",30781,30073
"HU","HU32","C16-C18",9419,5470
"HU","HU32","C23",0,1925
"HU","HU33","C23",99812,73332
