"Country_ID","NUTS3_ID","NUTS_ID","Sector_ID","ets_emis_t","alloc_free_t"
"AT","AT113","AT11","C23",7282,7499
"AT","AT121","AT12","C16-C18",65853,72047
"AT","AT121","AT12","C23",65529,46688
"AT","AT122","AT12","C16-C18",197968,139983
"AT","AT122","AT12","C23",420165,392444
"AT","AT124","AT12","C19-C20",16194,15830
"AT","AT125","AT12","C23",8603,15533
"AT","AT126","AT12","C23",18643,21171
"AT","AT127","AT12","C19-C20",2609993,1744801
"AT","AT127","AT12","C23",520183,545413
"AT","AT212","AT21","C23",50657,57972
"AT","AT213","AT21","C16-C18",59624,101801
"AT","AT213","AT21","C23",327117,374025
"AT","AT221","AT22","C16-C18",330453,395697
"AT","AT221","AT22","C23",74752,64619
"AT","AT221","AT22","C24",36747,33192
"AT","AT222","AT22","C23",19933,6426
"AT","AT223","AT22","C16-C18",26566,37247
"AT","AT223","AT22","C23",243144,269778
"AT","AT223","AT22","C24",3053656,2314855
"AT","AT224","AT22","C23",4732,13270
"AT","AT225","AT22","C23",329733,331235
"AT","AT226","AT22","C16-C18",48119,71969
"AT","AT226","AT22","C23",0,0
"AT","AT311","AT31","C23",25081,53435
"AT","AT311","AT31","C24",84081,67449
"AT","AT312","AT31","C16-C18",71294,98417
"AT","AT312","AT31","C19-C20",896102,930989
"AT","AT312","AT31","C23",357713,323383
"AT","AT312","AT31","C24",8668217,6864172
"AT","AT313","AT31","C16-C18",3368,3745
"AT","AT314","AT31","C23",262390,260104
"AT","AT315","AT31","C16-C18",119030,556011
"AT","AT315","AT31","C23",292751,323061
"AT","AT323","AT32","C16-C18",3078,64513
"AT","AT323","AT32","C23",370529,395226
"AT","AT331","AT33","C23",174305,170912
"AT","AT332","AT33","C16-C18",20207,18111
"AT","AT332","AT33","C23",7933,5017
"AT","AT335","AT33","C23",288738,199588
"AT","AT335","AT33","C24",31555,26307
"AT","AT342","AT34","C16-C18",23442,27456
"AT","AT342","AT34","C23",4107,4288
"BE","BE211","BE21","C19-C20",11206563,10287381
"BE","BE211","BE21","C23",84388,73953
"BE","BE211","BE21","C24",202979,172058
"BE","BE212","BE21","C16-C18",24444,23149
"BE","BE212","BE21","C19-C20",68208,36253
"BE","BE212","BE21","C24",27056,22288
"BE","BE213","BE21","C19-C20",231976,348829
"BE","BE213","BE21","C23",139006,111736
"BE","BE213","BE21","C24",153120,150331
"BE","BE223","BE22","C16-C18",86570,97706
"BE","BE223","BE22","C23",76645,55823
"BE","BE224","BE22","C19-C20",160614,175200
"BE","BE224","BE22","C23",22284,22086
"BE","BE224","BE22","C24",111933,134447
"BE","BE225","BE22","C23",23237,17610
"BE","BE225","BE22","C24",0,0
"BE","BE232","BE23","C16-C18",175893,114899
"BE","BE233","BE23","C19-C20",80368,89639
"BE","BE234","BE23","C16-C18",160287,135076
"BE","BE234","BE23","C19-C20",10086,11752
"BE","BE234","BE23","C24",3690181,7345389
"BE","BE235","BE23","C23",27017,18540
"BE","BE236","BE23","C19-C20",255410,323651
"BE","BE236","BE23","C23",32336,8802
"BE","BE252","BE25","C23",24607,19799
"BE","BE253","BE25","C23",28910,40716
"BE","BE253","BE25","C24",0,13887
"BE","BE254","BE25","C23",22335,14123
"BE","BE254","BE25","C24",16947,4840
"BE","BE255","BE25","C19-C20",35815,55218
"BE","BE256","BE25","C23",18368,23471
"BE","BE257","BE25","C23",13523,7621
"BE","BE310","BE31","C16-C18",0,0
"BE","BE310","BE31","C24",47627,44267
"BE","BE323","BE32","C19-C20",403134,629918
"BE","BE323","BE32","C23",747206,658597
"BE","BE328","BE32","C23",1711051,1760972
"BE","BE329","BE32","C24",110927,76557
"BE","BE32B","BE32","C23",0,0
"BE","BE32B","BE32","C24",282514,292467
"BE","BE32C","BE32","C19-C20",100704,83239
"BE","BE32C","BE32","C23",0,0
"BE","BE32D","BE32","C23",20783,17083
"BE","BE331","BE33","C19-C20",63210,110204
"BE","BE331","BE33","C23",208560,173452
"BE","BE332","BE33","C23",849735,964364
"BE","BE332","BE33","C24",106591,94853
"BE","BE334","BE33","C23",461355,431941
"BE","BE335","BE33","C16-C18",30927,22417
"BE","BE335","BE33","C23",57176,47061
"BE","BE343","BE34","C23",368036,289504
"BE","BE345","BE34","C16-C18",105159,122192
"BE","BE351","BE35","C23",0,0
"BE","BE352","BE35","C19-C20",351463,191018
"BE","BE352","BE35","C23",781112,670540
"BG","BG312","BG31","C23",0,0
"BG","BG313","BG31","C16-C18",9186,20881
"BG","BG313","BG31","C19-C20",3271,6663
"BG","BG313","BG31","C23",475378,434367
"BG","BG314","BG31","C16-C18",0,0
"BG","BG314","BG31","C23",0,0
"BG","BG315","BG31","C23",383267,402546
"BG","BG321","BG32","C23",0,157
"BG","BG322","BG32","C23",16439,16645
"BG","BG323","BG32","C19-C20",0,0
"BG","BG323","BG32","C23",14418,16882
"BG","BG324","BG32","C23",47902,48265
"BG","BG325","BG32","C16-C18",15849,19721
"BG","BG331","BG33","C19-C20",1446948,1276969
"BG","BG331","BG33","C23",696798,759448
"BG","BG332","BG33","C23",0,0
"BG","BG333","BG33","C23",59247,59776
"BG","BG333","BG33","C24",23339,22710
"BG","BG334","BG33","C23",319136,280415
"BG","BG341","BG34","C19-C20",1630381,1089947
"BG","BG341","BG34","C23",12535,8959
"BG","BG341","BG34","C24",39117,27766
"BG","BG342","BG34","C23",0,1412
"BG","BG343","BG34","C23",0,0
"BG","BG344","BG34","C16-C18",929,2006
"BG","BG344","BG34","C23",24622,8085
"BG","BG344","BG34","C24",619,283
"BG","BG411","BG41","C23",75857,33319
"BG","BG411","BG41","C24",21510,18247
"BG","BG412","BG41","C16-C18",0,0
"BG","BG412","BG41","C23",101512,107001
"BG","BG412","BG41","C24",50816,277143
"BG","BG414","BG41","C24",87143,84435
"BG","BG415","BG41","C23",248,253
"BG","BG421","BG42","C16-C18",41364,40952
"BG","BG421","BG42","C19-C20",7307,14891
"BG","BG421","BG42","C23",183907,144573
"BG","BG421","BG42","C24",181230,164792
"BG","BG422","BG42","C19-C20",515627,489082
"BG","BG422","BG42","C23",0,0
"BG","BG423","BG42","C16-C18",0,2323
"BG","BG423","BG42","C23",40724,10108
"BG","BG425","BG42","C24",0,0
"CY","CY000","CY00","C23",10039,6920
"CZ","CZ010","CZ01","C23",390322,384067
"CZ","CZ020","CZ02","C19-C20",596701,436615
"CZ","CZ020","CZ02","C23",253709,269407
"CZ","CZ020","CZ02","C24",0,0
"CZ","CZ031","CZ03","C23",20937,47796
"CZ","CZ031","CZ03","C24",0,0
"CZ","CZ032","CZ03","C23",46725,38777
"CZ","CZ032","CZ03","C24",2681,2310
"CZ","CZ041","CZ04","C16-C18",5258,3645
"CZ","CZ041","CZ04","C23",72996,52066
"CZ","CZ042","CZ04","C16-C18",113,534
"CZ","CZ042","CZ04","C19-C20",404764,383695
"CZ","CZ042","CZ04","C23",771651,804651
"CZ","CZ042","CZ04","C24",20233,18301
"CZ","CZ051","CZ05","C16-C18",3298,2347
"CZ","CZ051","CZ05","C23",7283,6284
"CZ","CZ052","CZ05","C16-C18",6855,5901
"CZ","CZ052","CZ05","C23",0,0
"CZ","CZ053","CZ05","C19-C20",24200,15951
"CZ","CZ053","CZ05","C23",495545,557756
"CZ","CZ063","CZ06","C16-C18",12206,2838
"CZ","CZ063","CZ06","C23",12657,9303
"CZ","CZ064","CZ06","C23",587626,812294
"CZ","CZ071","CZ07","C16-C18",33851,40895
"CZ","CZ071","CZ07","C19-C20",88966,112534
"CZ","CZ071","CZ07","C23",695745,817172
"CZ","CZ072","CZ07","C23",788,1669
"CZ","CZ080","CZ08","C16-C18",8539,3929
"CZ","CZ080","CZ08","C19-C20",122613,138919
"CZ","CZ080","CZ08","C23",151339,115109
"CZ","CZ080","CZ08","C24",2674601,3429200
"DE","DE113","DE11","C16-C18",0,0
"DE","DE113","DE11","C24",15369,12694
"DE","DE115","DE11","C23",2704,4292
"DE","DE118","DE11","C16-C18",8226,6227
"DE","DE118","DE11","C23",53540,41076
"DE","DE11A","DE11","C16-C18",2877,3597
"DE","DE11A","DE11","C23",0,0
"DE","DE11C","DE11","C23",392981,468428
"DE","DE11D","DE11","C16-C18",53645,108041
"DE","DE122","DE12","C16-C18",115259,111541
"DE","DE122","DE12","C19-C20",2569583,1800550
"DE","DE123","DE12","C23",381688,446918
"DE","DE124","DE12","C16-C18",137638,147139
"DE","DE125","DE12","C23",19193,230247
"DE","DE126","DE12","C16-C18",195643,215787
"DE","DE126","DE12","C23",0,0
"DE","DE126","DE12","C24",21411,14853
"DE","DE127","DE12","C23",4640,7682
"DE","DE128","DE12","C23",48732,60158
"DE","DE12B","DE12","C23",0,0
"DE","DE12C","DE12","C16-C18",23082,19730
"DE","DE131","DE13","C19-C20",16745,14362
"DE","DE132","DE13","C16-C18",27478,17866
"DE","DE132","DE13","C23",36226,26769
"DE","DE134","DE13","C16-C18",48563,150982
"DE","DE134","DE13","C23",0,0
"DE","DE134","DE13","C24",119839,171500
"DE","DE135","DE13","C23",20541,6560
"DE","DE136","DE13","C23",0,0
"DE","DE138","DE13","C24",123004,86927
"DE","DE139","DE13","C23",79337,117508
"DE","DE141","DE14","C16-C18",30075,23550
"DE","DE143","DE14","C23",584007,621966
"DE","DE145","DE14","C16-C18",51835,77857
"DE","DE145","DE14","C23",1220770,1442405
"DE","DE147","DE14","C23",6636,8443
"DE","DE148","DE14","C16-C18",0,0
"DE","DE148","DE14","C23",83343,67107
"DE","DE214","DE21","C19-C20",1226334,1002225
"DE","DE214","DE21","C24",25406,25112
"DE","DE215","DE21","C24",0,0
"DE","DE217","DE21","C16-C18",0,0
"DE","DE217","DE21","C23",19261,24564
"DE","DE219","DE21","C19-C20",573123,472661
"DE","DE219","DE21","C23",41089,38456
"DE","DE21A","DE21","C23",11117,17564
"DE","DE21B","DE21","C23",5053,5698
"DE","DE21C","DE21","C23",12183,15146
"DE","DE21F","DE21","C16-C18",10076,6948
"DE","DE21G","DE21","C23",2635,3231
"DE","DE21H","DE21","C19-C20",71190,57451
