cname,region_code,name,year,EQIregion,nuts_level,NUTS0_code,NUTS1_code,NUTS2_code,NUTS0_name,NUTS1_name,NUTS2_name,EQI,EQI_me,EQI_low_me,EQI_high_me,qualityp,impartialityp,corruptionp,corruption_subPer,corruption_subExp
Austria,AT11,Burgenland (AT),2021,401,2,AT,AT1,AT11,Österreich,Ostösterreich,Burgenland,.949,.16956,.7794399999999999,1.11856,.852,1.117,.773,.990161,1.18742
Austria,AT11,Burgenland (AT),2024,401,2,AT,AT1,AT11,Österreich,Ostösterreich,Burgenland,.928,.148895,.779105,1.076895,.6860000000000001,1.367,.6,.837699,1.03163
Austria,AT11,Burgenland (AT),2017,401,2,AT,AT1,AT11,Österreich,Ostösterreich,Burgenland,.868,.141545,.726455,1.009545,.452,1.4,.665,.801242,.141545
Austria,AT11,Burgenland (AT),2013,401,2,AT,AT1,AT11,Österreich,Ostösterreich,Burgenland,1.173,.308507,.8644930000000001,1.481507,.767,1.723,.929,,
Austria,AT11,Burgenland (AT),2010,401,2,AT,AT1,AT11,Österreich,Ostösterreich,Burgenland,1.23,.179447,1.050553,1.409447,.847,1.443,1.277,,
Austria,AT12,Niederösterreich,2017,402,2,AT,AT1,AT12,Österreich,Ostösterreich,Niederösterreich,.801,.22312,.5778800000000001,1.02412,.514,1.14,.67,.891188,.22312
Austria,AT12,Niederösterreich,2021,402,2,AT,AT1,AT12,Österreich,Ostösterreich,Niederösterreich,1.132,.146335,.9856649999999999,1.278335,.874,1.5,.898,1.22457,1.17791
Austria,AT12,Niederösterreich,2013,402,2,AT,AT1,AT12,Österreich,Ostösterreich,Niederösterreich,1.225,.212109,1.012891,1.437109,1.194,1.771,.608,,
Austria,AT12,Niederösterreich,2010,402,2,AT,AT1,AT12,Österreich,Ostösterreich,Niederösterreich,1.272,.204623,1.067377,1.476623,1.257,1.256,1.174,,
Austria,AT12,Niederösterreich,2024,402,2,AT,AT1,AT12,Österreich,Ostösterreich,Niederösterreich,.874,.128284,.745716,1.002284,.798,1.394,.306,.707117,.61355
Austria,AT13,Wien,2010,403,2,AT,AT1,AT13,Österreich,Ostösterreich,Wien,1.154,.2349,.9190999999999999,1.3889,.733,1.191,1.423,,
Austria,AT13,Wien,2013,403,2,AT,AT1,AT13,Österreich,Ostösterreich,Wien,.649,.235401,.413599,.884401,.649,1.165,.078,,
Austria,AT13,Wien,2021,403,2,AT,AT1,AT13,Österreich,Ostösterreich,Wien,.726,.197935,.528065,.923935,.513,.975,.61,.8619,1.01644
Austria,AT13,Wien,2024,403,2,AT,AT1,AT13,Österreich,Ostösterreich,Wien,.757,.198088,.5589120000000001,.9550879999999999,.993,.85,.323,.666202,.687072
Austria,AT13,Wien,2017,403,2,AT,AT1,AT13,Österreich,Ostösterreich,Wien,.9350000000000001,.218619,.716381,1.153619,.773,1.125,.8139999999999999,.920444,.218619
Austria,AT21,Kärnten,2024,404,2,AT,AT2,AT21,Österreich,Südösterreich,Kärnten,.879,.19817,.68083,1.07717,.946,1.158,.409,.724308,.788828
Austria,AT21,Kärnten,2010,404,2,AT,AT2,AT21,Österreich,Südösterreich,Kärnten,1.309,.253106,1.055894,1.562106,.715,1.576,1.505,,
Austria,AT21,Kärnten,2013,404,2,AT,AT2,AT21,Österreich,Südösterreich,Kärnten,1.013,.321656,.691344,1.334656,.63,1.454,.87,,
Austria,AT21,Kärnten,2021,404,2,AT,AT2,AT21,Österreich,Südösterreich,Kärnten,.902,.169858,.7321420000000001,1.071858,.6870000000000001,1.177,.743,.927872,1.19522
Austria,AT21,Kärnten,2017,404,2,AT,AT2,AT21,Österreich,Südösterreich,Kärnten,.73,.195885,.534115,.925885,.422,1.065,.631,.953203,.195885
Austria,AT22,Steiermark,2017,405,2,AT,AT2,AT22,Österreich,Südösterreich,Steiermark,.836,.213615,.622385,1.049615,.677,1.023,.725,.921879,.213615
Austria,AT22,Steiermark,2021,405,2,AT,AT2,AT22,Österreich,Südösterreich,Steiermark,1.051,.105454,.9455459999999999,1.156454,.752,1.579,.707,1.04143,1.01221
Austria,AT22,Steiermark,2013,405,2,AT,AT2,AT22,Österreich,Südösterreich,Steiermark,1.235,.205223,1.029777,1.440223,.945,1.825,.83,,
Austria,AT22,Steiermark,2010,405,2,AT,AT2,AT22,Österreich,Südösterreich,Steiermark,1.047,.196998,.8500019999999999,1.243998,1.017,.93,1.089,,
Austria,AT22,Steiermark,2024,405,2,AT,AT2,AT22,Österreich,Südösterreich,Steiermark,.976,.161971,.814029,1.137971,.794,1.448,.549,.954162,.821141
Austria,AT31,Oberösterreich,2010,406,2,AT,AT3,AT31,Österreich,Westösterreich,Oberösterreich,1.166,.165636,1.000364,1.331636,1.098,1.245,1.039,,
Austria,AT31,Oberösterreich,2024,406,2,AT,AT3,AT31,Österreich,Westösterreich,Oberösterreich,.854,.173331,.680669,1.027331,1.022,1.141,.279,.785192,.485575
Austria,AT31,Oberösterreich,2013,406,2,AT,AT3,AT31,Österreich,Westösterreich,Oberösterreich,1.119,.204299,.914701,1.323299,1.029,1.735,.5,,
