NUTS_ID,Country_ID,osm_banks,osm_share,ecb_offices,ecb_year,branches_cal,pop,branches_per10k,iubk,iubk_src,access_draft
AT11,AT,144,0.038751345532831,3046,2025,118.03659849300323,301790,3.9112163588257802,73.05,nuts2,0.4655731339829583
AT12,AT,807,0.21716899892357375,3046,2025,661.4967707212056,1727514,3.829183269838656,79.12,nuts2,0.4322656492294844
AT13,AT,332,0.08934337997847147,3046,2025,272.1399354144241,2028289,1.3417216945633688,83.11,nuts2,0.5392060794288376
AT21,AT,264,0.07104413347685684,3046,2025,216.40043057050593,570095,3.7958661375824367,75.08,nuts2,0.4590884241501386
AT22,AT,529,0.1423573735199139,3046,2025,433.62055974165776,1271716,3.4097279560975706,77.5,nuts2,0.46452050133904976
AT31,AT,734,0.197524219590958,3046,2025,601.6587728740581,1535519,3.918276314875023,78.55,nuts2,0.4310844972961171
AT32,AT,302,0.08127018299246501,3046,2025,247.5489773950484,572846,4.321387901723123,76.09,nuts2,0.4250019356984076
AT33,AT,422,0.11356297093649086,3046,2025,345.91280947255115,777660,4.4481239805641435,77.84,nuts2,0.40743764192275034
AT34,AT,182,0.04897739504843918,3046,2025,149.18514531754576,411784,3.6228980562029065,81.23,nuts2,0.4300989313939143
BE10,BE,130,0.05044625533566162,1613,2025,81.3698098564222,1271709,0.6398461429180905,73.08,nuts2,0.6385773439276576
BE21,BE,446,0.17306946061311604,1613,2025,279.1610399689562,1947973,1.4330847499886095,80.72,nuts2,0.5491936723732682
BE22,BE,190,0.0737291424136593,1613,2025,118.92510671323245,909455,1.307652459035713,77.24,nuts2,0.5774196206189994
BE23,BE,430,0.16686069072565,1613,2025,269.14629414047346,1586436,1.69654681399359,81.09,nuts2,0.5329506718199284
BE24,BE,354,0.13736903376018628,1613,2025,221.57625145518045,1205743,1.8376739608289696,87.14,nuts2,0.4879528686899346
BE25,BE,337,0.1307722157547536,1613,2025,210.93558401241754,1234664,1.7084452451227017,77.43,nuts2,0.5550226525300768
BE31,BE,108,0.04190919674039581,1613,2025,67.59953434225844,416504,1.6230224521795333,82.35,nuts2,0.5290277328348059
BE32,BE,217,0.08420644159875824,1613,2025,135.82499029879705,1369741,0.9916107519508948,75.98,nuts2,0.6019666578910953
BE33,BE,206,0.07993791230112533,1613,2025,128.93985254171517,1131687,1.1393596687221392,81.47,nuts2,0.5600918047138377
BE34,BE,64,0.02483507954986418,1613,2025,40.05898331393092,299812,1.3361367561648942,76.95,nuts2,0.577710411789624
