NUTS_ID,osm_banks,snapshot
AT11,144,overpass-live-2026-07-05
AT12,807,overpass-live-2026-07-05
AT13,332,overpass-live-2026-07-05
AT21,264,overpass-live-2026-07-05
AT22,529,overpass-live-2026-07-05
AT31,734,overpass-live-2026-07-05
AT32,302,overpass-live-2026-07-05
AT33,422,overpass-live-2026-07-05
AT34,182,overpass-live-2026-07-05
BE10,130,overpass-live-2026-07-05
BE21,446,overpass-live-2026-07-05
BE22,190,overpass-live-2026-07-05
BE23,430,overpass-live-2026-07-05
BE24,354,overpass-live-2026-07-05
BE25,337,overpass-live-2026-07-05
BE31,108,overpass-live-2026-07-05
BE32,217,overpass-live-2026-07-05
BE33,206,overpass-live-2026-07-05
BE34,64,overpass-live-2026-07-05
BE35,95,overpass-live-2026-07-05
BG31,99,overpass-live-2026-07-05
BG32,99,overpass-live-2026-07-05
BG33,151,overpass-live-2026-07-05
BG34,168,overpass-live-2026-07-05
BG41,443,overpass-live-2026-07-05
BG42,164,overpass-live-2026-07-05
CY00,384,overpass-live-2026-07-05
CZ01,255,overpass-live-2026-07-05
CZ02,139,overpass-live-2026-07-05
CZ03,154,overpass-live-2026-07-05
CZ04,116,overpass-live-2026-07-05
CZ05,231,overpass-live-2026-07-05
CZ06,215,overpass-live-2026-07-05
CZ07,133,overpass-live-2026-07-05
CZ08,107,overpass-live-2026-07-05
DE11,1270,overpass-live-2026-07-05
DE12,833,overpass-live-2026-07-05
DE13,665,overpass-live-2026-07-05
DE14,678,overpass-live-2026-07-05
DE21,1289,overpass-live-2026-07-05
DE22,519,overpass-live-2026-07-05
DE23,402,overpass-live-2026-07-05
DE24,422,overpass-live-2026-07-05
DE25,498,overpass-live-2026-07-05
DE26,531,overpass-live-2026-07-05
DE27,662,overpass-live-2026-07-05
DE30,318,overpass-live-2026-07-05
DE40,464,overpass-live-2026-07-05
DE50,106,overpass-live-2026-07-05
DE60,247,overpass-live-2026-07-05
DE71,780,overpass-live-2026-07-05
DE72,344,overpass-live-2026-07-05
DE73,365,overpass-live-2026-07-05
DE80,346,overpass-live-2026-07-05
DE91,375,overpass-live-2026-07-05
DE92,475,overpass-live-2026-07-05
DE93,446,overpass-live-2026-07-05
DE94,737,overpass-live-2026-07-05
DEA1,868,overpass-live-2026-07-05
DEA2,880,overpass-live-2026-07-05
DEA3,569,overpass-live-2026-07-05
DEA4,498,overpass-live-2026-07-05
DEA5,732,overpass-live-2026-07-05
DEB1,427,overpass-live-2026-07-05
DEB2,165,overpass-live-2026-07-05
DEB3,573,overpass-live-2026-07-05
DEC0,337,overpass-live-2026-07-05
DED2,302,overpass-live-2026-07-05
DED4,310,overpass-live-2026-07-05
DED5,159,overpass-live-2026-07-05
