lat,lon
51.9444934,-10.2319392
51.9464625,-10.2259441
51.9464401,-10.2254424
52.1412644,-10.2678566
52.1418323,-10.2683877
52.1422875,-10.2692752
51.5268835,-9.5446049
51.5492618,-9.2683453
51.5492176,-9.2661521
51.6513396,-9.9107599
51.8800951,-9.5837482
51.8817236,-9.5849853
52.1067262,-9.7882796
52.1077524,-9.78726
52.145966,-9.7172088
52.26903,-9.7036746
52.2697606,-9.7043332
52.0578755,-9.5102731
52.0584295,-9.5088143
52.0589354,-9.5119832
52.0610447,-9.4826871
52.180205,-9.2401637
51.7207232,-9.1130624
51.7219511,-9.1129675
51.6224706,-8.8903623
51.6231875,-8.8907384
51.6232241,-8.8910544
51.6236921,-8.8826937
51.9046578,-8.9603021
51.9051219,-8.9601714
51.905153,-8.9603614
51.9043654,-8.9554486
51.7452573,-8.7365034
51.7450106,-8.7374968
51.7448514,-8.7381737
51.7446589,-8.7388707
51.744817,-8.7374769
51.7061926,-8.5225607
51.7051738,-8.5229932
51.706107,-8.5242427
51.8128551,-8.3923665
51.8135429,-8.3924876
51.8146313,-8.3921844
51.8878283,-8.5909054
51.8878363,-8.5906737
51.8876287,-8.5877524
51.888185,-8.5879505
51.8794517,-8.5212717
51.8801062,-8.5174973
51.8814163,-8.5079716
51.8809721,-8.5115217
51.8937118,-8.5015622
51.9053084,-8.5040749
51.8490009,-8.4895093
51.8509413,-8.4830373
51.8676641,-8.4526551
51.8790349,-8.4924946
51.8938753,-8.490484
51.8913741,-8.4865719
51.886904,-8.466314
51.889821,-8.4476777
51.898722,-8.4721406
51.8965186,-8.4715144
51.8964728,-8.4707763
51.8982238,-8.4727978
51.9165883,-8.4730254
51.9156474,-8.4711596
51.9152754,-8.4704937
51.901392,-8.4633884
51.8778855,-8.4368219
51.8799602,-8.4409286
51.8777712,-8.4361543
51.8781976,-8.4314634
51.8773843,-8.4343321
51.912745,-8.4292643
51.9328426,-8.5673686
52.0838403,-9.2115874
52.0601031,-9.0603332
52.2150154,-8.9975336
52.3455675,-8.9748383
52.3406347,-8.910213
52.136952,-8.6448205
52.1374142,-8.6456035
52.1375389,-8.6461509
52.2310835,-8.6703211
52.2153501,-8.5857148
52.3560568,-8.6841402
52.3554288,-8.6835889
52.3542039,-8.6822216
52.3990783,-8.5729863
52.3989693,-8.5732949
52.3993883,-8.573878
52.40026,-8.5755194
52.4556318,-9.6623911
52.5113175,-9.6738174
52.6373073,-9.4866196
52.6376749,-9.4853825
52.6375063,-9.4844111
52.461004,-9.2905551
52.8162572,-9.4564348
52.941098,-9.293238
53.2464111,-9.3645747
53.2442816,-9.3057119
52.4499017,-9.0593759
52.4517908,-9.0584488
52.5237203,-8.9357042
52.5999976,-8.9729086
52.5999587,-8.9728391
52.600784,-8.9716129
52.6234698,-8.8106539
52.705983,-8.9006566
52.7102666,-8.8798923
52.8153426,-8.9669912
52.8446652,-8.983849
52.842917,-8.9829652
52.8434249,-8.9801519
52.8455692,-8.9823795
52.5194495,-8.7163097
52.6288165,-8.6644994
52.6411895,-8.6470384
52.6406925,-8.650094
52.6484753,-8.6332572
52.4727413,-8.4323482
52.5966849,-8.5483706
52.659910000000004,-8.6246212
52.6620416,-8.6288625
52.6635143,-8.6256043
52.6634243,-8.6274282
52.6636909,-8.6271331
52.6633701,-8.6258741
52.6607351,-8.6229284
52.6617011,-8.6217243
52.6684835,-8.6210139
52.6620475,-8.5961185
52.667844,-8.5753582
52.6671048,-8.5701188
