lat,lon
39.3776173,-31.1805115
39.3784628,-31.1753352
39.4530852,-31.1287212
38.5312425,-28.6268911
38.5312873,-28.626891
38.5365397,-28.6263018
38.5382349,-28.625551
38.5386432,-28.6251663
38.5391824,-28.6250507
38.5337534,-28.5284644
38.5349644,-28.5278528
38.534797,-28.5270797
38.5256466,-28.3190439
38.5267522,-28.3196618
38.5281157,-28.3221154
38.3974598,-28.2524939
38.394761,-28.2516673
38.3961205,-28.2519295
38.6817059,-28.2070883
38.6811903,-28.2059325
38.6808717,-28.2059977
38.6815389,-28.2064674
38.6806119,-28.2057448
38.6858602,-27.0573683
38.7303011,-27.0667131
38.7306174,-27.0650232
38.7662001,-27.1019172
39.086138,-28.0047163
32.7223238,-17.1776748
32.7288525,-17.1786596
32.73077,-17.1765867
32.7192221,-17.1572487
32.6818248,-17.1015194
32.6800996,-17.1030155
32.6969374,-17.1177388
32.6714326,-17.0646087
32.6725494,-17.0645087
32.6709911,-17.0649879
32.67068,-17.0653782
32.6747199,-17.0639104
32.6493142,-16.9786625
32.6492838,-16.9767911
32.6492731,-16.9769337
32.6495393,-16.9771957
32.6374358,-16.9438072
32.6360047,-16.9409444
32.6412161,-16.9490243
32.6498693,-16.938178
32.6478101,-16.9372636
32.6715934,-16.9796957
32.6716575,-16.9799011
32.6442423,-16.9207164
32.6454697,-16.916523
32.6476533,-16.9148903
32.6470471,-16.9088766
32.6468786,-16.9119778
32.6491435,-16.9097089
32.6475584,-16.90956
32.6473375,-16.9086262
32.6471925,-16.9147284
32.6472296,-16.9120374
32.6472768,-16.908609
32.6480286,-16.9099077
32.6489281,-16.905291
32.648723,-16.9077094
32.6489891,-16.9054415
32.6477823,-16.9073376
32.6480788,-16.9073585
32.6499518,-16.9072945
32.6494049,-16.9043408
32.6603709,-16.9304255
32.6632624,-16.9289124
32.6605386,-16.9306787
32.6529249,-16.8404739
32.651591,-16.8403671
32.653318,-16.8419204
32.6520258,-16.8413464
32.6880488,-16.7918495
32.6883035,-16.7919481
32.6879014,-16.7924212
32.8033471,-17.046469600000002
32.803302,-17.0463999
32.8597906,-17.1906193
32.865061,-17.1709475
32.8653509,-17.171143
32.8047252,-16.8820771
32.8051622,-16.880235
32.8057944,-16.8806361
32.7910756,-16.8534934
32.6932209,-16.7756449
32.7186135,-16.7665229
32.7183921,-16.765992
32.7186966,-16.7666163
32.7183289,-16.7657396
33.0504663,-16.3503721
33.058306,-16.3363741
33.0591437,-16.3340632
33.059579,-16.3346047
33.059544,-16.3328442
37.7605747,-25.7039317
37.7386403,-25.669954100000002
37.7453093,-25.6778893
37.7390695,-25.6724435
37.7397256,-25.6685473
37.740468,-25.6680388
37.7403876,-25.6682156
37.7393645,-25.6679631
37.7392631,-25.6688206
37.7394276,-25.6691104
37.7396042,-25.6681623
37.7395268,-25.6689176
37.7401957,-25.6676877
37.7390449,-25.6684385
37.7455162,-25.674113
37.7407294,-25.6622921
37.7427132,-25.6578518
37.7427345,-25.6579001
37.7483157,-25.6576172
37.7463263,-25.573086
37.7162442,-25.4331213
37.7164076,-25.4342668
37.715832,-25.4344877
37.7154821,-25.4337547
37.7345252,-25.2990784
37.7485059,-25.2447883
37.7470538,-25.2458681
37.7472297,-25.2458454
37.8328211,-25.6889829
37.8211356,-25.5242903
37.8217043,-25.5216134
37.821605,-25.5211103
37.8218101,-25.5206847
37.8220895,-25.5201566
37.773244,-25.3100383
37.8307804,-25.3525139
36.9544853,-25.1423189
37.8317311,-25.1464014
37.8322584,-25.14671
37.830915,-25.146126
37.8448417,-25.1613589
37.0088531,-8.9351631
37.0828415,-8.9094652
37.0822516,-8.9121102
37.0859822,-8.7306587
37.1070994,-8.6804713
37.1062954,-8.6811643
37.0965681,-8.673078
37.1025727,-8.6727168
37.1031894,-8.6730462
37.0974318,-8.6765419
37.1063727,-8.6745647
37.1069858,-8.6749897
37.1116003,-8.6801781
37.129433,-8.5940362
37.1190916,-8.5371442
37.1330633,-8.5423941
37.1339309,-8.544077
37.1328924,-8.5359611
37.1342474,-8.4557932
37.1353896,-8.4521592
37.134607,-8.4514835
37.1345942,-8.4511399
37.1342755,-8.4511132
37.1337346,-8.4523094
37.134616,-8.4494864
37.1262356,-8.399749
37.1492418,-8.6560751
37.3139894,-8.803565
37.3143585,-8.8035625
37.315030899999996,-8.8036151
37.1378781,-8.5352445
37.137688,-8.5359399
37.1380488,-8.5347253
37.1393735,-8.5383697
37.1375689,-8.5358914
37.1380466,-8.5354751
37.1879348,-8.4402826
37.1878416,-8.4398465
37.1870574,-8.4409206
